"","Intervals","Swim Stroke","Lengths","Distance","Time","Cumulative Time","Avg Pace","Best Pace","Avg. Swolf","Avg HR","Max HR","Total Strokes","Avg Strokes","Calories"
"","1","Unknown","4","100","1:35.6","1:35.6","1:36","1:31","33","92","110","37","9","8"
"","1.1","--","1","25","0:26","0:26","1:44","1:44","33","72","83","7","--","--"
"","1.2","--","1","25","0:22.8","0:48.8","1:31","1:31","34","91","100","11","--","--"
"","1.3","--","1","25","0:23.6","1:12.3","1:34","1:34","33","100","102","9","--","--"
"","1.4","--","1","25","0:23.3","1:35.6","1:33","1:33","33","104","110","10","--","--"
"","","Rest","0","0","0:02.8","1:38.4","0","0","0","112","112","0","0","2"
"","","Rest","0","0","0:16.1","1:54.5","0","0","0","110","111","0","0","1"
"","2","Unknown","4","100","1:45.1","3:39.6","1:45","1:34","36","114","121","40","10","16"
"","2.1","--","1","25","0:30.2","0:30.2","2:01","2:01","41","106","115","11","--","--"
"","2.2","--","1","25","0:23.7","0:53.9","1:35","1:35","34","116","120","10","--","--"
"","2.3","--","1","25","0:23.6","1:17.4","1:34","1:34","34","120","121","10","--","--"
"","2.4","--","1","25","0:27.7","1:45.1","1:51","1:51","37","116","118","9","--","--"
"","","Rest","0","0","0:16.9","3:56.6","0","0","0","117","133","0","0","2"
"","3","Unknown","4","100","1:44.3","5:40.8","1:44","1:37","36","127","135","39","10","20"
"","3.1","--","1","25","0:28.8","0:28.8","1:55","1:55","39","122","125","10","--","--"
"","3.2","--","1","25","0:24.1","0:52.9","1:37","1:37","34","125","128","10","--","--"
"","3.3","--","1","25","0:25.9","1:18.8","1:44","1:44","36","129","134","10","--","--"
"","3.4","--","1","25","0:25.5","1:44.3","1:42","1:42","34","131","135","9","--","--"
"","","Rest","0","0","0:18.2","5:59.1","0","0","0","132","139","0","0","4"
"","4","Unknown","4","100","1:42.7","7:41.8","1:43","1:34","36","150","160","40","10","25"
"","4.1","--","1","25","0:28.6","0:28.6","1:55","1:55","39","143","150","10","--","--"
"","4.2","--","1","25","0:23.5","0:52.1","1:34","1:34","33","151","158","9","--","--"
"","4.3","--","1","25","0:25.5","1:17.6","1:42","1:42","37","158","160","11","--","--"
"","4.4","--","1","25","0:25.1","1:42.7","1:40","1:40","35","148","156","10","--","--"
"","","Rest","0","0","0:56.7","8:38.5","0","0","0","133","145","0","0","11"
"","5","Drill","1","25","0:12.9","8:51.4","0:52","0","0","129","132","0","0","3"
"","","Rest","0","0","0:28.8","9:20.2","0","0","0","129","131","0","0","4"
"","6","Drill","1","25","0:15.5","9:35.7","1:02","0","0","131","133","0","0","4"
"","","Rest","0","0","0:31.6","10:07","0","0","0","129","133","0","0","5"
"","7","Drill","1","25","0:14.6","10:22","0:58","0","0","132","133","0","0","4"
"","","Rest","0","0","0:24.0","10:46","0","0","0","132","135","0","0","4"
"","8","Drill","1","25","0:14.5","11:00","0:58","0","0","137","141","0","0","3"
"","","Rest","0","0","0:47.9","11:48","0","0","0","144","152","0","0","10"
"","9","Drill","1","25","0:24.4","12:13","1:38","0","0","138","141","0","0","6"
"","","Rest","0","0","0:27.2","12:40","0","0","0","135","142","0","0","5"
"","10","Drill","1","25","0:25.5","13:05","1:42","0","0","131","134","0","0","5"
"","","Rest","0","0","0:22.8","13:28","0","0","0","131","137","0","0","4"
