"","Intervals","Swim Stroke","Lengths","Distance","Time","Cumulative Time","Avg Pace","Best Pace","Avg. Swolf","Avg HR","Max HR","Total Strokes","Avg Strokes","Calories"
"","1","Unknown","4","100","1:35.6","1:35.6","1:36","1:33","33","120","135","40","10.0","12"
"","1.1","Unknown","--","25","0:24.2","--","--","--","--","--","--","9","--","--"
"","1.2","Unknown","--","25","0:23.5","--","--","--","--","--","--","10","--","--"
"","1.3","Unknown","--","25","0:23.9","--","--","--","--","--","--","11","--","--"
"","1.4","Unknown","--","25","0:24.0","--","--","--","--","--","--","10","--","--"
"","2","Rest","--","--","2:00.0","3:35.6","--","--","--","--","--","--","--","--"
"","3","Drill","2","50","0:30.0","4:05.6","1:00","0:14","--","130","140","0","0.0","2"
"","3.1","Drill","--","25","0:14.0","--","--","--","--","--","--","0","--","--"
"","3.2","Drill","--","25","0:16.0","--","--","--","--","--","--","0","--","--"
"","4","Rest","--","--","2:00.0","6:05.6","--","--","--","--","--","--","--","--"
"","5","Unknown","1","25","0:12.5","6:18.1","0:50","0:50","20","160","170","6","6.0","3"
"","5.1","Unknown","--","25","0:12.5","--","--","--","--","--","--","6","--","--"
"","6","Rest","--","--","2:00.0","8:18.1","--","--","--","--","--","--","--","--"
"","7","Unknown","1","25","0:17.4","8:35.5","1:09","1:09","24","165","175","7","7.0","3"
"","7.1","Unknown","--","25","0:17.4","--","--","--","--","--","--","7","--","--"
"","8","Rest","--","--","2:00.0","10:35.5","--","--","--","--","--","--","--","--"
"","9","Unknown","1","25","0:16.9","10:52.4","1:07","1:07","23","168","178","7","7.0","3"
"","9.1","Unknown","--","25","0:16.9","--","--","--","--","--","--","7","--","--"
"","10","Rest","--","--","2:00.0","12:52.4","--","--","--","--","--","--","--","--"
"","11","Unknown","1","25","0:17.0","13:09.4","1:08","1:08","24","166","176","7","7.0","3"
"","11.1","Unknown","--","25","0:17.0","--","--","--","--","--","--","7","--","--"
